"Genes","Rank"
"SETD1B",1228
"ZNF460",1227
"FKBP8",1226
"CTPS1",1225
"FSCN3",1224
"AP3S2",1223
"TPI1",1222
"ELF3",1221
"XRCC3",1220
"NOC2L",1219
"SH2D3A",1218
"HAT1",1217
"MORF4L1",1216
"USP42",1215
"ADTRP",1214
"E2F2",1213
"DPY19L2P2",1212
"CACTIN",1211
"RBM15B",1210
"MRPS18C",1209
"SMAD4",1208
"SLC16A13",1207
"URB2",1206
"NOL10",1205
"SLC27A1",1204
"CAD",1203
"ZSWIM5",1202
"ARHGEF9",1201
"MICU2",1200
"UTP3",1199
"UBA1",1198
"TEK",1197
"PRR5.ARHGAP8.1",1196
"MAFF",1195
"PLK3",1194
"USP11",1193
"BCLAF1",1192
"OSGIN1",1191
"C9orf117",1190
"FDXACB1",1189
"C11orf31",1188
"H1FX",1187
"PPP3R1",1186
"TRABD",1185
"C16orf13",1184
"NDUFC1",1183
"FKBP2",1182
"ATP5G2",1181
"MLYCD",1180
"C14orf119",1179
"ACBD3",1178
"THOC1",1177
"C22orf29",1176
"SERF2.1",1175
"ATP5A1",1174
"MBD4",1173
"NCOA7",1172
"YEATS2",1171
"YWHAB",1170
"SYTL1",1169
"FLAD1",1168
"FNBP1L",1167
"CYB561",1166
"C7orf55.LUC7L2",1165
"ANKRD54",1164
"DYNLL2",1163
"RPL36",1162
"NEDD9",1161
"LINC00493",1160
"ZNF440",1159
"QTRT1",1158
"LIN37",1157
"ANO10",1156
"FBXW11",1155
"FBXO24",1154
"RPS29",1153
"SLC9A4",1152
"RPL24",1151
"OSBPL2",1150
"MRPL20",1149
"MEIS2",1148
"ATP5L",1147
"NFKBIZ",1146
"EYA4",1145
"PCDHGA11",1144
"SF3B2",1143
"BCL9L",1142
"FBXO42",1141
"MLKL",1140
"FCHO1",1139
"HCCS",1138
"SLC25A25",1137
"SF3B5",1136
"OAZ1",1135
"DAPK1",1134
"POP5",1133
"COMMD6",1132
"TDGF1P3",1131
"KANSL2",1130
"APITD1",1129
"MAGED1",1128
"NPLOC4",1127
"POLR2F",1126
"RARRES1",1125
"EMC6",1124
"ZNF780B",1123
"TRMT13",1122
"NDUFB1",1121
"C2ORF15",1120
"COL28A1",1119
"TP53I11",1118
"ENOX2",1117
"POLR3E",1116
"WASH5P",1115
"C14orf166",1114
"KRTCAP2",1113
"PSMB6",1112
"GPR137",1111
"VPRBP",1110
"LSM7",1109
"OBSL1",1108
"PPARG",1107
"C11orf71",1106
"PEX3",1105
"C12orf43",1104
"NDUFAF4",1103
"COX17",1102
"ANKS6",1101
