"Genes","Rank"
"CSDE1",739
"ARL4A",831
"YTHDC1",949
"SETD1B",1228
"DDX49",1274
"BTN3A3",1510
"C5orf22",939
"ATP13A3",952
"LMTK2",966
"PTPN13",993
"QTRT1",1158
"MORF4L1",1216
"PPM1M",430
"BLOC1S3",474
"ATP5S",761
"AK4",801
"C11orf73",1070
"C11orf30",1072
"TANC1",1087
"MKX",1258
"CXCR4",1284
"PSMB8",53
"OXT",505
"ADORA2A",591
"MFN1",710
"TOMM5",780
"MGP",925
"ADAM28",957
"AP3S2",1223
"NRD1",1498
"SPN",1509
"ETV7",77
"BOC",748
"USH2A",825
"GPR113",861
"PABPN1",871
"HIST2H4A.6",940
"EPB41L4A.AS1",1242
"CABLES2",1309
"VASH2",412
"SRCRB4D",723
"GLTPD2",758
"LUC7L3",1083
"TRMT13",1122
"WASH7P",459
"CICP27",913
"ATRX",1001
"PPP1R3E",1024
"HBEGF",1069
"VPRBP",1110
"ADTRP",1214
"FAXC",1091
"SF3B2",1143
"AC093323.3",1504
"ADD3",397
"N4BP3",928
"AHNAK",1052
"PRR4",1098
"SYTL1",1169
"TAPT1.AS1",1257
"RNASEK.C17orf49",1282
"DSTN",511
"SP100",745
"HIST1H2AG.3",816
"CPA6",1011
"TF",1057
"YEATS2",1171
"ABHD16A",629
"RPL23A",849
"RPL37A",1043
"POP5",1133
"CTU1",965
"MRPS18C",1209
"TPI1",1222
"AKIP1",1502
"NIFK",799
"HCFC1R1",1012
"NCKAP1",1050
"CYB561",1166
"EIF3B",786
"POLR3E",1116
"RSG1",1239
"HPS6",1321
"MAU2",1538
"GSK3B",529
"C3AR1",577
"STAT1",677
"ZIM2",1033
"C22orf29",1176
"MAZ",1296
"ZNF124",487
"CDC45",711
"POLRMT",736
"MAGI2",788
"MCAM",915
"BTG2",1247
"MAP6",1537
"POLR1A",556
"ABCA5",670
"AFTPH",686
"MDK",815
"C17orf50",987
"WDR27",990
"ZNF160",1318
"ZNF780B",1123
"THOC1",1177
"FBXL13",636
"C6orf58",705
"DUOX2",791
"SMOC1",887
"AASDHPPT",1048
"PIK3R4",1522
"MAP3K7",1280
"BDP1",1507
"ACAP2",967
"BCLAF1",1192
"CDK5RAP2",504
"SENP2",568
"TOPBP1",592
"KIF2A",869
"XPOT",126
"ATP8B3",229
"MTMR1",763
"CSRNP3",802
"PTPRE",827
"ANKRD54",1164
"DOHH",1240
"MAGOH.1",78
"UBE2D2",608
"NT5DC3",731
"TRPC1",948
"RIMBP2",1006
"FAM222A",1039
"STAT2",847
"GZMB",944
"PHKB",167
"PI4KB",279
"PPP1R2",520
"PPP2R4",545
"GCLM",865
"H1FX",1187
"ZPLD1",1278
"LYRM1",416
"GJA3",754
"GRIK4",930
"RP9P",1059
"TRAPPC2P1",1065
"ZNF440",1159
"GNLY",1268
"PQLC3",1488
"ZNF683",495
"GRIN2B",833
"IL10RB",896
"LGR6",916
"PFKFB3",941
"SS18",992
"ENOX2",1117
"EYA4",1145
"PRR5",1312
"TRERF1",1528
"CD58",507
"LAPTM4B",546
"REXO2",898
"TDG",348
"GAPVD1",353
"LRRC57",963
"PDPR",995
"PRKD3",1334
"SATL1",517
"SETDB1",541
"KCND3",628
"OSCP1",650
"OSGIN1",1191
"TMEM115",1279
"XBP1",1508
"INSR",228
"NFATC3",388
"RAP2A",433
"SLC7A6",476
"HOXC4",619
"FCHO1",1139
"MDFI",469
"NUDT3",692
"FBXW8",1061
"OBSL1",1108
"DYNLL2",1163
"TMEM168",1520
"CYP3A5",709
"FAM105A",900
"DHRS4L2",1303
"GBA",458
"PPA1",631
"RPS28",771
"FGFBP3",785
"RFX5",1017
"KIF3C",1060
"KANSL2",1130
"LIF",563
"SLC8B1",924
"DPY19L2P2",1212
"GOSR2",1259
"KIAA1217",1323
"NARFL",843
"TRABD",1185
"RAB3D",180
"TDGF1",1056
"COL25A1",581
"LGR5",753
"NELL2",756
"NLRP2",889
"PCDHB16",947
"PARVB",1229
"ELP6",1275
"GLA",1517
"METRN",484
"PSMB2",664
"SRGAP1",878
"SPIN2B",1030
"C5orf54",1308
"DBIL5P",1327
"FAM71F2",579
"IFT81",632
"KBTBD3",986
"PIDD",1002
"PURG",278
"SLC25A2",497
"KIAA1191",1536
"NEK8",548
"RP11.834C11.4",586
"SBK1",676
"FBXO2",892
"FLVCR1.AS1",1082
"HES6",1320
"KANSL1L",1329
"C9orf116",553
"RANGRF",610
"RPSAP52",1026
"TSEN54",1474
"GBAP1",633
"PPP2CA",644
"C1orf204",724
"ATP1B3",749
"DDX41",970
"ESRRA",1005
"RAB2B",1013
"MARCKS",571
"RAMP1",797
"HAVCR1",932
"MEIS2",1148
"NLRP6",1256
"RFXAP",1266
"ZNF544",800
"SNX24",923
"TIFA",935
"FBXW11",1155
"REXO4",387
"SBF2",695
"FBXO25",796
"SH2D4A",824
"TNPO2",1236
"FBXO16",1297
"GNB1",121
"MED28",324
"METTL10",560
"UBE2D4",1064
"USP42",1215
"ARL17B",227
"C11orf54",667
"DYX1C1",1015
"FBXO24",1154
"IRAK4",472
"LINC00634",735
"PIBF1",779
"RBM44",821
"TAF7",976
"TEX40",988
"TRAF3IP1",991
"ZNF502",1086
"C18orf25",1089
"CYFIP1",580
"EML4",1036
"NPLOC4",1127
"PIGG",396
"RPP14",467
"SLC2A13",494
"XPNPEP1",510
"ZCCHC2",530
"EIF2B3",567
"HPCAL1",687
"RNF138",1272
"CCDC19",646
"FBXO42",1141
"FBXO33",679
"KCTD13",605
"MAP2K7",722
"NRBP2",894
"C2ORF15",1120
"NR2C1",1291
"DPH1",527
"POLR3D",969
"UBA1",1198
"USP14",1484
"FAM102A",339
"GCKR",513
"NAT8",562
"RARRES1",1125
"SLC25A25",1137
"BCL9L",1142
"CPNE4",1289
"GDF15",1531
"MFHAS1",152
"PARP1",473
"TNPO3",656
"ZNF653",781
"C20orf202",921
"MLKL",1140
"SGSM1",457
"ARID3B",543
"CEACAM6",697
"CNNM4",904
"FBXW10",936
"SLC9A4",1152
"WBP2",1336
"DCAKD",828
"VAT1",1023
"DPH3",52
"EIF1AX",253
"SETD9",356
"CA4",426
"CHCHD6",466
"CLIP2",547
"CRABP1",345
"DNAJB13",475
"POLR2J4",478
"TPD52L2",764
"ANO10",1156
"FNBP1L",1167
"GLTSCR1L",717
"CHCHD7",881
"DCAF11",1007
"FDXACB1",1189
"GTF3C3",630
"JADE3",1066
"MOSPD2",1049
"CDNF",691
"RBM4B",823
"RTF1",942
"SMCR5",1034
"ZNF112",441
"DYNC1LI2",922
"RILPL1",1447
"IFI6",331
"XIST",595
"ARL6",721
"CAPRIN1",741
"CCNY",768
"CNTD1",956
"FSCN3",1224
"GABRR2",414
"PAQR6",516
"TTTY15",855
"WASH5P",1115
"AMPD2",559
"HELZ2",684
"C14orf182",782
"CLEC4F",795
"FBXO6",1031
"NFKB1",372
"ASAP2",526
"C9orf163",890
"CNTROB",1027
"CPD",1466
"CRBN",669
"MFN2",1047
"TMEM167B",366
"TP53BP2",658
"CLTCL1",261
"SCD",793
"SNX33",822
"TDGF1P3",1131
"AP2M1",1305
"SURF4",249
"C5orf38",558
"PKLR",1439
"HEBP1",615
"NUDCD2",704
"UBB",945
"C12orf43",1104
"FLAD1",1168
"GOLGA7",814
"HCCS",1138
"MICU2",1200
"RWDD4",408
"KDSR",413
"CWC25",766
"RSPO4",950
"ZKSCAN4",972
"CXCL17",1080
"FAM35BP",1085
"HADHB",1096
"LRIG3",1489
"MPPE1",1491
"RHBDF1",600
"SLC29A3",603
"TMPRSS7",817
"RAD51B",446
"VSTM5",488
"CCDC42B",769
"CHN2",617
"DUSP4",1067
"KCNJ13",330
"PCP2",363
"UGT2A3",738
"ZFP36",1269
"B3GALT5",1306
"CERK",179
"CHRM1",725
"COL28A1",1119
"GJB4",597
"GPR27",668
"HOXA11",718
"IER2",845
"INCA1",1025
"PDGFA",606
"SRMS",424
"TCTEX1D4",440
"TKTL1",561
"TMEM246",655
"VNN1",672
"BLOC1S2",1255
"CALM1.1",10
"CCDC127",565
"GSTM4",574
"HSPD1",787
"LTBR",1465
"RP11.257I8.1",946
"DAPK1",1134
"HMGCS1",1430
"MEX3A",401
"SRRD",496
"PRSS1",877
"HLTF",1051
"NUMA1",1455
"POGLUT1",1469
"PRKAR2A",829
"TXLNA",926
"ZSWIM5",1202
"DCP1A",1281
"MBD4",1173
"SLAIN2",20
"UBR2",708
"ARL8B",844
"BBS4",38
"FAM21C.1",155
"FKTN",776
"ING3",1040
"MSI2",1313
"PNPLA8",920
"RBM15B",1210
"SCAF4",260
"SHQ1",398
"SLC25A44",872
"SNX9",493
"VANGL1",611
"AGBL2",792
"IBA57",903
"KIAA1024",979
"MKNK1",258
"NPIPB5",584
"SLMO1",614
"UTP3",1199
"ARHGEF9",1201
"BCL6",1437
"C17orf59",575
"MR1",620
"PDK1",701
"CUL7",980
"DHX40",1453
"GCLC",58
"TUSC1",373
"NFKBIE",442
"ADPRHL1",578
"FBXO4",627
"LRCH4",762
"SLC27A1",1204
"CDKL1",1468
"CSNK1E",415
"TNNT1",1010
"STAG3L4",1431
"CHML",1440
"PACRGL",830
"PI4K2B",1277
"PLA2R1",481
"PLEKHA8",841
"SYNJ2",951
"TGOLN2",51
"WDR1",393
"C11orf63",506
"C8orf58",977
"NRG1",1319
"HESX1",437
"KLRC2",1493
"TREML3P",177
"ADCK3",777
"NAGPA",804
"SLC2A10",927
"YWHAB",1170
"DDTL",27
"FOXRED1",622
"MGMT",683
"SCP2",909
"SH2D3A",1218
"TSTA3",50
"UFD1L",907
"C2orf27A",375
"PSPH",544
"ZBTB10",588
"ZNF467",1444
"BRSK1",1475
"GATSL2",929
"P4HA2",953
"PITPNA",239
"PPIC",490
"SMAD9",1094
"APOBEC4",1261
"ATP1A1",277
"C17orf67",612
"HPGD",798
"MAFK",911
"MT1H",914
"RPH3AL",1457
"SLC5A3",75
"STOML2",455
"TMEM120B",491
"WDR72",653
"WDR93",759
"ATAD3C",1054
"BEAN1",1076
"APITD1",1129
"CFTR",1467
"CNOT4",755
"COQ10B",998
"GLB1L2",1237
"HIRIP3",246
"OTOF",346
"PTDSS1",360
"SPATA5L1",1443
"TAF13",846
"TRIM54",1263
"ZSWIM8",557
"APH1B",1459
"EPB41L1",250
"GLDN",453
"NR1H3",533
"SLC1A3",1020
"C9orf117",1190
"CEPT1",1532
"DAPK2",347
"NEO1",613
"PIK3C3",883
"PLXNB1",1265
"PSMD2",247
"IP6K3",342
"MYO1B",682
"NEDD9",1161
"RGS3",1260
"MFI2",500
"NHLRC1",707
"PYROXD2",712
"MBTPS1",858
"MCCC1",983
"MKRN3",549
"PAX8",659
"RP11.566F5.1",1022
"BSDC1",232
"DNM1",525
"GNL3L",621
"LINC00910",978
"OPHN1",118
"SCARNA9.1",534
"TDRD3",552
"CXCL1",690
"GAS6",1264
"SNORA67",673
"USP11",1193
"C9orf3",590
"FOXJ1",36
"C15orf40",91
"CNEP1R1",162
"ELFN2",523
"FAM174A",1009
"HNRNPA0",1028
"PEX3",1105
"TTC4",498
"C2CD4B",770
"PCDHGA11",1144
"MLYCD",1180
"CCDC103",593
"EFCAB2",681
"FOXRED2",840
"GALNT18",1004
"IQCA1",700
"JADE1",746
"PIPOX",807
"TRHDE",1016
"DEPDC7",1079
"TTC13",259
"ZNF674.AS1",450
"APEX2",680
"OSGEP",438
"RABIF",554
"TAF12",604
"TMED9",693
"YRDC",1487
"ZFYVE21",124
"C11orf71",1106
"NCOA7",1172
"ODF2L",22
"PAOX",42
"PCDHGB8P",422
"PIGB",1299
"PPP2R3B",76
"SLFN13",337
"SMTNL1",432
"ZC4H2",499
"ZNF19",540
"ZNF215",542
"BBS12",702
"CYB5D2",918
"ELF3",1221
"EN2",405
"ERLEC1",1300
"ID1",810
"KCNK1",25
"MEGF6",328
"NEU4",425
"SCGB3A1",501
"SLC10A5",1429
"SPPL3",1424
"UBXN10",352
"ZSCAN12P1",435
"ACBD5",1075
"ASB6",34
"KIAA1715",280
"PPP2R5E",994
"RP11.252A24.7",789
"SMAD4",1208
"TET2",1433
"TMEM2",55
"ZNF844",351
"FAM57A",365
"OR2A4",420
"ADM",447
"ARNTL",624
"NIPAL2",1470
"NYNRIN",626
"PGAP3",114
"BICD1",226
"C1orf111",531
"ERCC3",645
"RAPH1",1483
"ZFP91",334
"CHPT1",370
"CHRFAM7A",634
"ENGASE",266
"ENHO",1432
"GALNT5",1434
"MCEE",423
"USP30",427
"C7orf31",665
"DBNDD2",893
"FAM200A",1254
"HABP2",706
"LIPF",1014
"OLFM4",720
"ORAOV1",836
"OSBPL2",1150
"ARMC7",742
"DENND1A",417
"DPH7",512
"KIAA1143",1476
"NRAS",103
"PHF23",521
"SAMD12",875
"FAM83F",12
"SLC35B3",173
"ZNF85",298
"GRIN2D",386
"IFT74",1436
"FAM174B",1442
"GNPAT",1451
"NSMCE4A",480
"SHPK.1",643
"XRN2",660
"ACOT1",1411
"DNPEP",400
"ECHDC1",569
"FLOT1",107
"GGT7",640
"GPR137",1111
"MRPS33",1462
"TERC",449
"ZNF90",1422
"SCARB2",1471
"CHST2",1
"HS1BP3",300
"MCTP2",456
"MYH14",93
"CIB2",371
"FAM211B",6
"SLC25A21",41
"STOML1",329
"TMEM159",108
"ABHD5",428
"CCDC64",641
"ANKS6",1101
"CASC4",1446
"HIPK2",252
"LIN52",297
"PHF7",391
"PTPN2",536
"SLC2A8",1267
"SYNJ2BP",1423
"TMEM104",1428
"TMEM133",444
"TTC12",674
"TNFSF10",1438
"CMTR2",230
"HOXB6",737
"NFKBIZ",1146
"TOP3A",143
"ACAD8",271
"DDX19B",191
"DNAJC7",231
"OAZ3",236
"SPATC1L",1454
"ERGIC1",410
"FAM13A",1407
"FBP1",1481
"LYPD6B",576
"PPARG",1107
"RIBC1",1413
"RNF19B",272
"RP11.64D22.2",74
"TNFRSF6B",296
"TTLL6",134
"UNC119B",219
"B3GNT6",390
"CNGA1",1378
"ACBD3",1178
"ALG1",1420
"ALG9",336
"ATAD1",778
"C14orf159",344
"CSNK2A2",685
"DNAAF3",1480
"GRK5",1463
"GTDC1",49
"KAZALD1",135
"MTA3",599
"PPP3R1",1186
"SGPP2",1450
"SNX11",429
"TFE3",747
"TMC6",838
"TMPO.AS1",1084
"TRNT1",105
"VPS11",145
"CDC42EP2",295
"CRYZ",378
"CSNK1D",460
"DDX10",775
"GPATCH1",1391
"GRK6",436
"KHDC1",570
"KIAA1279",11
"MRS2",73
"NAA20",462
"PRDM12",573
"STX3",698
"TMEM237",1405
"UGP2",479
"ADPGK",1392
"GPD2",70
"NUMB",235
"PHF3",255
"RALGDS",811
"SLC16A13",1207
"STRIP1",625
"ZDHHC2",1042
"ZMYND8",1354
"LINC00324",647
"TM9SF1",137
"GRIPAP1",84
"HELB",248
"PCDHB10.1",1460
"PTPRR",1477
"RP2",97
"RRNAD1",1356
"LSS",35
"MN1",842
"SYNE4",257
"TTC39A",439
"C16orf46",635
"CNPY3",1366
"IKBKG",82
"NKAPP1",341
"NUP54",485
"PLS3",675
"ADPRHL2",237
"ANKRD16",268
"DLST",293
"DNAJB12",350
"FAR1",1352
"FASTK",1399
"LPHN1",47
"METTL4",59
"MIPEP",470
"PHKA2",503
"TP53I11",1118
"ZNF689",1427
"AGFG1",1512
"ATRN",141
"CDC25B",311
"CDR2",448
"EIF2D",1458
"FAM69C",1464
"FBXL6",65
"KIF3B",115
"MARS",168
"OSGIN2",243
"OTUD5",302
"PHF19",537
"REG1A",719
"RPA2",1365
"THAP5",765
"WRAP73",1316
"ZNF747",289
"ANKRD27",377
"BTD",1097
"C7orf55.LUC7L2",1165
"C9orf64",380
"DNM2",1482
"EMC1",146
"FAM210A",464
"FAS",407
"FBXO18",37
"G2E3",94
"HS2ST1",1375
"LINC00654",218
"PKP2",233
"PPP2R2D",338
"RAE1",95
"RHEBL1",123
"SLAMF9",244
"SLC44A2",292
"STYX",355
"TMEM51",194
"TOX4",33
"TTC5",1355
"ABCB10",88
"SIRT5",133
"FXYD4",224
"GNAI1",431
"ITM2C",461
"SIRT1",981
"UBXN11",1435
"ABCA7",1441
"AHCYL1",212
"AHCYL2",1425
"DDX5",64
"ERAP1",83
"GTPBP1",323
"KAT7",1452
"ST7.AS1",178
"RFESD",264
"ZNF354A",301
"FADS1",321
"QDPR",943
"SNCA",394
"CD27.AS1",14
"DEF8",96
"HRASLS2",382
"LBX2.AS1",31
"LINC00482",303
"MLLT4.AS1",406
"NOTCH2NL",1473
